osm_id,name,centroid_base,centroid_lat,centroid_lon,main_entrance_lat,main_entrance_lon,category,cohort,walking_distance_centroid_to_main_entrance_m,walking_distance_centroid_to_nearest_driving_road_m,walking_distance_centroid_to_nearest_transit_stop_m,walking_distance_main_entrance_to_nearest_driving_road_m,walking_distance_main_entrance_to_nearest_transit_stop_m,is_same_nearest_driving_road,is_same_transit_stop,euclidean_distance_centroid_to_main_entrance_m,absolute_difference_nearest_road_distance_m,absolute_difference_nearest_transit_stop_distance_m
way/464846018,YQB Jean-Lesage,area,46.7921383,-71.3879417,46.7921649,-71.3832531,airport,quebec,1362,705,1079,8,35,FALSE,FALSE,357,697,1044
way/46842432,Galeries d'Anjou,building,45.600543,-73.5645215,45.6003062,-73.5631779,shopping_center,quebec,139,369,212,238,364,FALSE,TRUE,108,131,152
way/468560154,Université Concordia - Campus Loyola,area,45.458301,-73.6389741,45.4579634,-73.6396659,university,quebec,87,58,95,61,70,FALSE,TRUE,66,3,25
way/46867840,Centre Rockland,building,45.5285024,-73.6479693,45.5272865,-73.6484939,shopping_center,quebec,164,250,247,108,124,FALSE,FALSE,141,142,123
way/46868201,Place Vertu,building,45.4990564,-73.7067684,45.4980791,-73.7053234,shopping_center,quebec,171,291,334,141,175,FALSE,FALSE,157,150,159
way/473033703,UQAR Rimouski,area,48.4518042,-68.511905,48.4529124,-68.5127463,university,quebec,268,43,123,42,141,FALSE,TRUE,138,1,18
way/47332016,Carrefour Angrignon,building,45.4472306,-73.6155826,45.4481935,-73.6148017,shopping_center,quebec,1038,303,332,231,113,FALSE,FALSE,123,72,219
way/475531260,Réserve Naturelle Gault (McGill),area,45.5502192,-73.1539244,45.5380024,-73.1571023,regional_park,quebec,1732,1974,2063,298,388,FALSE,TRUE,1381,1676,1675
way/480427015,UQO Saint-Jérôme,building,45.7745872,-74.0033463,45.7749636,-74.0034377,university_small,quebec,100,21,79,9,44,FALSE,FALSE,42,12,35
way/483980128,UQAT Mont-Laurier,area,46.5599641,-75.5084347,46.560096,-75.5080426,university_small,quebec,102,91,,42,,FALSE,,33,49,
way/486188258,UQAT Val d'Or,area,48.0992238,-77.785923,48.0994013,-77.784791,university_small,quebec,197,151,,98,,FALSE,,86,53,
way/486429987,INRS Québec,building,46.812707,-71.2243758,46.812977,-71.2239761,university_small,quebec,112,23,68,19,57,FALSE,FALSE,43,4,11
way/50424864,Hôpital Charles-Le Moyne,area,45.496966,-73.4865496,45.4973758,-73.4861084,hospital,quebec,407,205,281,63,80,FALSE,FALSE,57,142,201
way/614266924,UQAC École NAD Montréal,building,45.5072865,-73.5682649,45.5071726,-73.5685252,university_small,quebec,41,33,80,11,47,FALSE,TRUE,24,22,33
way/69828841,UQTR Trois-Rivières,area,46.3462982,-72.5793983,46.3475269,-72.5768704,university,quebec,460,96,179,49,52,FALSE,FALSE,237,47,127
way/714846766,ENAP Gatineau,building,45.42734,-75.7158449,45.427581,-75.7160958,university_small,quebec,47,28,192,6,193,FALSE,TRUE,33,22,1
way/799476628,UQAM Montérégie-Ouest / Cégep de VAlleyfield Saint-Constant,building,45.3739842,-73.5692011,45.3741519,-73.569554,university_small,quebec,50,69,118,93,74,TRUE,TRUE,33,24,44
way/814145654,UQTR Drummondville,area,45.8953939,-72.4830771,45.8945192,-72.4837902,university_small,quebec,269,213,222,115,106,FALSE,TRUE,112,98,116
way/945479715,YUL Montréal,area,45.4686868,-73.7464826,45.4577714,-73.7496337,airport,quebec,3699,2128,2352,11,53,FALSE,FALSE,1238,2117,2299
way/95440150,UdeS Longueuil + UQAM Longueuil,building,45.5248493,-73.5205447,45.5251284,-73.5204066,university_small,quebec,41,103,116,78,147,TRUE,TRUE,33,25,31
way/956643587,Hôpital de la Cité-de-la-Santé,area,45.6025839,-73.710236,45.6030553,-73.7109171,hospital,quebec,210,149,217,142,141,FALSE,FALSE,75,7,76
way/960598270,ÉTS,area,45.4944498,-73.5628636,45.4952205,-73.5628851,university,quebec,136,56,117,18,18,FALSE,TRUE,86,38,99
